file_id	partition	system	exclusion_reason	source_stage
LA_D_1002130	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1002200	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1002318	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1003356	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1003673	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1003797	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1004357	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1006800	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1007033	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1007830	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1010123	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1012014	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1018991	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1019359	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1023711	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1024399	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1024541	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1025356	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1025449	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1025756	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1027036	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1027144	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1030640	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1035630	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1035695	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1039528	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1042553	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1054205	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1058697	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1062960	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1063280	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1063772	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1066201	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1067946	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1068250	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1071291	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1074040	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1076068	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1079750	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1079849	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1082950	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1083373	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1083812	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1099280	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1106906	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1108554	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1108820	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1110070	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1111073	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1121509	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1123046	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1130654	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1131210	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1134137	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1135642	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1138393	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1139673	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1139898	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1143403	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1145380	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1158489	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1160005	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1168201	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1169636	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1173972	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1175922	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1178516	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1179745	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1181647	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1185773	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1187262	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1190183	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1191562	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1193402	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1208021	DEV	A04	missing_audio	expanded_audio_inventory
LA_D_1208937	DEV	A04	missing_audio	expanded_audio_inventory
