system	feature	model_file	accepted_random_structure	source_path	sha256
A01	centroid	models/A01_centroid.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A01_centroid.rds	04589011f67bae61b731695c1c37aa5ff61d0d173f595d3e704352dd9ab71e36
A01	cpps	models/A01_cpps.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A01_cpps.rds	be6115a468d533c7f1f7fa3f3f8d5bfafa16ed4a41f0a81ace24f21b6d6d9783
A01	energy	models/A01_energy.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A01_energy.rds	27fd57396ec0db8c455c3bfe716114ac84a815a6cffe119b8bae667f627dfd10
A01	flatness	models/A01_flatness.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A01_flatness.rds	59d44bb7572b06b7607fcd05a087ea50bc43684ed55dbc9256766eb2c52de510
A01	flux	models/A01_flux.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A01_flux.rds	fa1ecf14deef06dfd2a7293ef37005fe046aaaff60151248718d32380b067600
A01	tilt	models/A01_tilt.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A01_tilt.rds	7f40e45b0bec8e52003fde555ffabafb9c04e2a72c08d407e6552e37d73f9182
A02	centroid	models/A02_centroid.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A02_centroid.rds	eb74e2cc6916fb9b152c1276c6066bda0a1dfd1f023682e3cfefd23c3e54d96e
A02	cpps	models/A02_cpps.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A02_cpps.rds	418f0fd7a7b6324c9376272dac7749eb6343db91c646e390b537a3ad25ee58aa
A02	energy	models/A02_energy.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A02_energy.rds	a973015ae4f21fd4f7ca24e981a62deec5bf2a51b45481a0e75f71c0b627e32b
A02	flatness	models/A02_flatness.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A02_flatness.rds	9d2419617177a5f51abacc134357262fc70244aa0101f9b957a07d3d2223ee58
A02	flux	models/A02_flux.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A02_flux.rds	fdb1fb15d715368d8e137f6f950df123bb5d35fd8efea5a0b2400ca8f8d0e1f6
A02	tilt	models/A02_tilt.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A02_tilt.rds	3a2cf757430f4fdaa185bacc93f6d3c70ab9583c3ddc22c6808b590079e0a604
A03	centroid	models/A03_centroid.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A03_centroid.rds	4d4671d8ba42ec6294370e4ec33736357f5b4f3d8ffe8dc4e32b6cf5a1b01377
A03	cpps	models/A03_cpps.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A03_cpps.rds	91b54b368565d0115c55bba6206daacc4804341aec1fb20310030778d3d87907
A03	energy	models/A03_energy.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A03_energy.rds	705ee4338899aee44a65bce5656b5829989219e19d275445462dbc980e4bc172
A03	flatness	models/A03_flatness.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A03_flatness.rds	10b0bddd3657380639f1911bf2eccd7ba79498c33a1673f5a2b0b34798d0d3c9
A03	flux	models/A03_flux.rds	token_occurrence_id + match_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A03_flux.rds	f5bcc449be88cfed5a51b004a33d3d270db6a109969e14e260d2f025b36472c1
A03	tilt	models/A03_tilt.rds	token_occurrence_id + utterance_id	E:\speech tech\asv2019\LA\LA\rebuild_v7\production\models\A03_tilt.rds	64951d0ff953045c262460beab0cafd1a0fb48d2cd5fe508cdc75b5422f9e25d
