system	feature	average_classification_model_based	SESOI_classification_model_based	shape_classification_model_based	CR2_status	CR2_evidence_complete	CR2_utterances_multiple_matches	CR2_proportion_utterances_multiple_matches	CR2_maximum_matches_per_utterance	CR2_match_clusters_independent_partitions	CR2_estimates_produced	average_classification_CR2	SESOI_classification_CR2	shape_classification_CR2	time_resolved_classification_changes	average_classification_changed	shape_classification_changed	SESOI_classification_changed	sensitivity_only
A01	centroid	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3206	0.774957698815567	27	FALSE	FALSE								TRUE
A01	cpps	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	348	0.256259204712813	5	FALSE	FALSE								TRUE
A01	energy	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3206	0.774957698815567	27	FALSE	FALSE								TRUE
A01	flatness	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3208	0.772825825102385	27	FALSE	FALSE								TRUE
A01	flux	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3206	0.774957698815567	27	FALSE	FALSE								TRUE
A01	tilt	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3206	0.774957698815567	27	FALSE	FALSE								TRUE
A02	centroid	NOT_SIGNIFICANT	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3243	0.777511388156317	27	FALSE	FALSE								TRUE
A02	cpps	NOT_SIGNIFICANT	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	353	0.263826606875934	5	FALSE	FALSE								TRUE
A02	energy	NOT_SIGNIFICANT	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3243	0.777511388156317	27	FALSE	FALSE								TRUE
A02	flatness	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3233	0.774185823754789	27	FALSE	FALSE								TRUE
A02	flux	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3243	0.777511388156317	27	FALSE	FALSE								TRUE
A02	tilt	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3243	0.777511388156317	27	FALSE	FALSE								TRUE
A03	centroid	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3134	0.765323565323565	28	FALSE	FALSE								TRUE
A03	cpps	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	454	0.315935977731385	8	FALSE	FALSE								TRUE
A03	energy	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3134	0.765323565323565	28	FALSE	FALSE								TRUE
A03	flatness	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3149	0.767113276492083	32	FALSE	FALSE								TRUE
A03	flux	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3134	0.765323565323565	28	FALSE	FALSE								TRUE
A03	tilt	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3134	0.765323565323565	28	FALSE	FALSE								TRUE
A04	centroid	NOT_SIGNIFICANT	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3363	0.788326300984529	28	FALSE	FALSE								TRUE
A04	cpps	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	455	0.315096952908587	8	FALSE	FALSE								TRUE
A04	energy	SIGNIFICANT_POSITIVE	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3363	0.788326300984529	28	FALSE	FALSE								TRUE
A04	flatness	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3364	0.788006558913094	28	FALSE	FALSE								TRUE
A04	flux	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3363	0.788326300984529	28	FALSE	FALSE								TRUE
A04	tilt	NOT_SIGNIFICANT	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3363	0.788326300984529	28	FALSE	FALSE								TRUE
A07	centroid	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3191	0.8251874838376	26	FALSE	FALSE								TRUE
A07	cpps	NOT_SIGNIFICANT	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	366	0.287284144427002	7	FALSE	FALSE								TRUE
A07	energy	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3191	0.8251874838376	26	FALSE	FALSE								TRUE
A07	flatness	SIGNIFICANT_POSITIVE	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3192	0.825232678386763	26	FALSE	FALSE								TRUE
A07	flux	NOT_SIGNIFICANT	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3191	0.8251874838376	26	FALSE	FALSE								TRUE
A07	tilt	NOT_SIGNIFICANT	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3191	0.8251874838376	26	FALSE	FALSE								TRUE
A08	centroid	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	2893	0.791951820421571	26	FALSE	FALSE								TRUE
A08	cpps	NOT_SIGNIFICANT	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	351	0.281475541299118	7	FALSE	FALSE								TRUE
A08	energy	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	2893	0.791951820421571	26	FALSE	FALSE								TRUE
A08	flatness	SIGNIFICANT_POSITIVE	INCONCLUSIVE	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	2906	0.792905866302865	26	FALSE	FALSE								TRUE
A08	flux	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	2893	0.791951820421571	26	FALSE	FALSE								TRUE
A08	tilt	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	2893	0.791951820421571	26	FALSE	FALSE								TRUE
A09	centroid	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3141	0.82311320754717	25	FALSE	FALSE								TRUE
A09	cpps	NOT_SIGNIFICANT	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	317	0.250989707046714	7	FALSE	FALSE								TRUE
A09	energy	NOT_SIGNIFICANT	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3141	0.82311320754717	25	FALSE	FALSE								TRUE
A09	flatness	NOT_SIGNIFICANT	EQUIVALENT	NOT_SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3138	0.822542595019659	25	FALSE	FALSE								TRUE
A09	flux	SIGNIFICANT_POSITIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3141	0.82311320754717	25	FALSE	FALSE								TRUE
A09	tilt	SIGNIFICANT_NEGATIVE	EQUIVALENT	SIGNIFICANT_SHAPE	NOT_APPLICABLE_CROSSED_CLUSTERING	TRUE	3141	0.82311320754717	25	FALSE	FALSE								TRUE
