file_id	partition	system	label	vctk_id	transcript
LA_E_1000147	EVAL	A10	spoof	-	What's the point in coming here to sit in the stand and watch the Test matches?
LA_E_1000791	EVAL	A11	spoof	-	They wanted the club to make money.
LA_E_1000841	EVAL	A09	spoof	-	Our immediate concern is for the eight people employed by the estate.
LA_E_1001227	EVAL	A11	spoof	-	It's possible the organisers would try to increase the capacity at Braehead.
LA_E_1001476	EVAL	A12	spoof	-	She has just had enough and said she could not work here any more.
LA_E_1001893	EVAL	A09	spoof	-	The action takes place in the middle distance.
LA_E_1002394	EVAL	A08	spoof	-	I'm very lucky.
LA_E_1002658	EVAL	A08	spoof	-	However, he said it would welcome an inquiry.
LA_E_1002769	EVAL	A07	spoof	-	Rangers can expect a physical battle in the national stadium tonight.
LA_E_1003768	EVAL	A09	spoof	-	They are secure.
LA_E_1005177	EVAL	A11	spoof	-	The options were that they were dead, had joined the guerrilla Kosovo Liberation Army, or were being held hostage.
LA_E_1006317	EVAL	A10	spoof	-	I can't do anything before nine.
LA_E_1006886	EVAL	A07	spoof	-	Indeed it is.
LA_E_1007069	EVAL	A09	spoof	-	In a statement at the start of yesterday's meeting Mr Gilchrist insisted time was running out.
LA_E_1007838	EVAL	A10	spoof	-	You could feel the heat.
LA_E_1008103	EVAL	A07	spoof	-	I do not see them being able to do that ever again.
LA_E_1009236	EVAL	A11	spoof	-	You make one up for us.
LA_E_1009254	EVAL	A08	spoof	-	Advocaat was not going to be drawn on whether Miller would start tomorrow night.
LA_E_1009429	EVAL	A11	spoof	-	Links golf is my favourite.
LA_E_1009640	EVAL	A10	spoof	-	I don't know what he was thinking about on the eighteenth hole.
LA_E_1009694	EVAL	A11	spoof	-	I'd say we should give it a week.
LA_E_1011450	EVAL	A08	spoof	-	She had been in Germany for medical treatment.
LA_E_1011600	EVAL	A07	spoof	-	The crowd was awesome.
LA_E_1011807	EVAL	bonafide	bonafide	p312_378	-
LA_E_1014345	EVAL	A08	spoof	-	I wouldn't have missed it for the world.
LA_E_1014480	EVAL	A10	spoof	-	I'm not out here to prove anything to myself.
LA_E_1014516	EVAL	A12	spoof	-	Nobody believes the private sector is a panacea.
LA_E_1014644	EVAL	A08	spoof	-	I rejected the idea of a separate residence.
LA_E_1014715	EVAL	A11	spoof	-	It's a record label, not a form of music.
LA_E_1015234	EVAL	A10	spoof	-	Knowledge is everything at this level.
LA_E_1015648	EVAL	A12	spoof	-	We cannot afford to have a repeat of what happened last week in the Scottish Cup final.
LA_E_1017665	EVAL	A12	spoof	-	But what of the human remains?
LA_E_1018246	EVAL	A11	spoof	-	They see it as easy money, and wake up one day and find they are wrong.
LA_E_1018407	EVAL	A12	spoof	-	That is a position backed by the best international research, backed by the medical professions, and backed by the cross-party health and community care committee.
LA_E_1018538	EVAL	A07	spoof	-	This will be the garden party of the summer.
LA_E_1019043	EVAL	A12	spoof	-	However, he was less concerned about their potential impact in the long term.
LA_E_1019133	EVAL	A12	spoof	-	The results are expected later this week.
LA_E_1019297	EVAL	A08	spoof	-	They can leave at any time.
LA_E_1019489	EVAL	A10	spoof	-	There are no plans to take Milosevic out.
LA_E_1019903	EVAL	A11	spoof	-	But both told separate hearings they already had experience in the security industry and training was non-existent.
LA_E_1019949	EVAL	A08	spoof	-	I would love to travel with it.
LA_E_1020167	EVAL	A09	spoof	-	But now, after the glory of Carnoustie, he has to go back to the day job.
LA_E_1020177	EVAL	A11	spoof	-	But it is understood to have happened after weeks of arguments.
LA_E_1020219	EVAL	A09	spoof	-	Demand to live in the area has always been high.
LA_E_1020598	EVAL	A08	spoof	-	Here is a great catastrophe that everyone knows about.
LA_E_1022330	EVAL	A10	spoof	-	Such a city does not exist.
LA_E_1023514	EVAL	A12	spoof	-	The direct effects on trade will be limited.
LA_E_1023808	EVAL	A09	spoof	-	The plans to expand the service have come in for severe criticism, with the service last year described as a waste of public money.
LA_E_1024324	EVAL	A08	spoof	-	They said all the lights remained on around the clock.
LA_E_1024417	EVAL	bonafide	bonafide	p228_256	-
LA_E_1024929	EVAL	A11	spoof	-	On the contrary they stand to gain.
LA_E_1026587	EVAL	A09	spoof	-	We just didn't have the concentration to capitalise.
LA_E_1027163	EVAL	A08	spoof	-	That is not just my personal view.
LA_E_1027275	EVAL	A10	spoof	-	It is confidential.
LA_E_1027495	EVAL	A09	spoof	-	Certainly Emile Heskey would prefer the latter approach.
LA_E_1028101	EVAL	A12	spoof	-	Really, warning bells were ringing that something was different from normal.
LA_E_1028808	EVAL	A12	spoof	-	The problem we have is financial.
LA_E_1029849	EVAL	A09	spoof	-	This is only the tip of the iceberg.
LA_E_1030028	EVAL	A09	spoof	-	I do, but only when the conditions are right.
LA_E_1030540	EVAL	A11	spoof	-	It is the first time we have had the whole story.
LA_E_1030619	EVAL	A07	spoof	-	I never thought it would take this long.
LA_E_1031038	EVAL	A11	spoof	-	I feel it is very irrational.
LA_E_1031731	EVAL	A07	spoof	-	They have caused problems in the past, especially where their operating history is not clear.
LA_E_1031837	EVAL	A10	spoof	-	What it means to what?
LA_E_1031917	EVAL	A07	spoof	-	The corporate community is interested.
LA_E_1031941	EVAL	A11	spoof	-	That's a natural progression - that some players drive on in a big way.
LA_E_1034211	EVAL	A12	spoof	-	They insist they had a reasonable excuse, that the toll regime was not properly established in law.
LA_E_1034414	EVAL	A11	spoof	-	He's the favourite at the moment unless something happens.
LA_E_1034718	EVAL	A10	spoof	-	He always wanted recognition from his father.
LA_E_1036440	EVAL	A09	spoof	-	On Thursday, Mr Blair will address the Institute of Public Policy Research.
LA_E_1036763	EVAL	A10	spoof	-	Work of this kind should be done in plenty of time and, where possible, at night or other quieter times.
LA_E_1036786	EVAL	A10	spoof	-	Their findings are published in the journal, Injury Prevention.
LA_E_1037559	EVAL	A10	spoof	-	The Tory leader promised to bring an open mind to reforming public services.
LA_E_1037569	EVAL	A09	spoof	-	We were all afraid.
LA_E_1037676	EVAL	A08	spoof	-	I have also been delighted with Stevie.
LA_E_1038782	EVAL	A11	spoof	-	Perhaps that is a bit harsh, but as ever, Parker was correct.
LA_E_1039046	EVAL	A12	spoof	-	For the first time in their short and stormy marriage, she considered divorce and contacted a lawyer.
LA_E_1039058	EVAL	A10	spoof	-	This is the culture change in medicine.
LA_E_1041484	EVAL	A09	spoof	-	The accident seemed so simple.
LA_E_1041995	EVAL	A07	spoof	-	That might happen in Pakistan, but in Britain?
LA_E_1042300	EVAL	A10	spoof	-	Jim Wallace, the justice minister, acknowledged that prisoner numbers were a concern.
LA_E_1043874	EVAL	A08	spoof	-	Yesterday's conference was organised by the Forum and the Convention of Scottish Local Authorities.
LA_E_1044031	EVAL	A10	spoof	-	I'm not a fan of books.
LA_E_1044126	EVAL	A10	spoof	-	Big Ewan was embarrassed.
LA_E_1044599	EVAL	A12	spoof	-	I am very disappointed that we have not been shortlisted.
LA_E_1046103	EVAL	bonafide	bonafide	p236_392	-
LA_E_1046787	EVAL	A10	spoof	-	You may remember him for missing the penalty against England.
LA_E_1047397	EVAL	A11	spoof	-	The judges reserved judgment until next week.
LA_E_1047426	EVAL	A11	spoof	-	The dressing room incident was just one of those things - it's in the past now.
LA_E_1048510	EVAL	A12	spoof	-	Home is in the Scottish Borders.
LA_E_1048534	EVAL	A08	spoof	-	I've never heard anything of him.
LA_E_1048571	EVAL	A11	spoof	-	And how did it end up in Genoa?
LA_E_1048647	EVAL	A07	spoof	-	The nice thing is that women are now using their clout.
LA_E_1048766	EVAL	A11	spoof	-	The most important thing is to get a programme for government.
LA_E_1049029	EVAL	A09	spoof	-	It's been a long, long journey.
LA_E_1050463	EVAL	A09	spoof	-	It was a shame for the fans, because they have been terrific and turned up in great numbers.
LA_E_1052115	EVAL	A11	spoof	-	She has just had enough and said she could not work here any more.
LA_E_1052171	EVAL	A11	spoof	-	We cannot go on like this.
LA_E_1052690	EVAL	A12	spoof	-	I don't understand how that can all have been forgotten.
LA_E_1053042	EVAL	A11	spoof	-	They really want to do it.
LA_E_1054080	EVAL	A08	spoof	-	But Annika is just amazing.
LA_E_1056197	EVAL	A07	spoof	-	The point was not lost.
LA_E_1056646	EVAL	A11	spoof	-	It's a good thing for them to learn that this music wasn't composed for use in adverts.
LA_E_1056698	EVAL	A09	spoof	-	You are a different people.
LA_E_1057396	EVAL	A12	spoof	-	After winning the World Cup, this is the most important thing for me.
LA_E_1057546	EVAL	A10	spoof	-	They have done that.
LA_E_1057817	EVAL	A11	spoof	-	He added, Sometimes you look silly from the outside.
LA_E_1058631	EVAL	A08	spoof	-	Nato is now united and prepared to carry out its warning.
LA_E_1059090	EVAL	A08	spoof	-	This will save interest charges.
LA_E_1059108	EVAL	A07	spoof	-	It may also be her last.
LA_E_1059718	EVAL	A07	spoof	-	We had our chances.
LA_E_1060654	EVAL	A07	spoof	-	There was not a bogey on his report card.
LA_E_1060792	EVAL	A10	spoof	-	The jackpot is good for me - and for my friends.
LA_E_1060895	EVAL	A11	spoof	-	Jim Leighton will play in the Scottish Cup final.
LA_E_1061256	EVAL	A12	spoof	-	Given could relate to that last night after his demotion.
LA_E_1061304	EVAL	A09	spoof	-	I can see him playing in every international game from now on.
LA_E_1061454	EVAL	A09	spoof	-	You are talking about a matter of life and death.
LA_E_1061586	EVAL	bonafide	bonafide	p259_448	-
LA_E_1061903	EVAL	A09	spoof	-	The experts got it wrong.
LA_E_1062636	EVAL	A08	spoof	-	In the past on a voluntary basis we could not get enough people to do the work.
LA_E_1063041	EVAL	A12	spoof	-	A fashion and culture of cool is already developing around the sport.
LA_E_1063074	EVAL	A09	spoof	-	Well, we must put these days behind us.
LA_E_1063411	EVAL	A09	spoof	-	Alain Richard, the defence minister, said France would be an active partner in the military offensive in a matter of days.
LA_E_1063956	EVAL	A07	spoof	-	I am considered a teenager.
LA_E_1064405	EVAL	A07	spoof	-	The duo were split by David Coulthard's McLaren.
LA_E_1064731	EVAL	A12	spoof	-	We hope he will be back by the start of February, but it depends on how his team gets on in their section.
LA_E_1064751	EVAL	A10	spoof	-	Mr Love, who has a seven-year-old son with Miss Simpson, said they had split up after the incident.
LA_E_1065331	EVAL	A08	spoof	-	Nicol Stephen, deputy education minister, said the area where massive differences could be made was with young people.
LA_E_1065582	EVAL	A08	spoof	-	The dancers are also demanding the removal of the current Scottish Ballet board and the scrapping of the restructuring plans, which they describe as madness.
LA_E_1065662	EVAL	A08	spoof	-	That was one of the points that captured my interest in the story.
LA_E_1066090	EVAL	A12	spoof	-	This is a dilemma which Scotland has already been forced to confront.
LA_E_1066368	EVAL	A08	spoof	-	Their expressions only reflected those of the audience.
LA_E_1066571	EVAL	bonafide	bonafide	p292_352	-
LA_E_1067167	EVAL	A08	spoof	-	We could hear the shots but the soldiers left us alone.
LA_E_1068650	EVAL	A09	spoof	-	The question was, work together to do what?
LA_E_1069271	EVAL	A09	spoof	-	He saw a psychiatrist and spent time in a treatment centre.
LA_E_1069304	EVAL	A11	spoof	-	It is a difficult thing to explain.
LA_E_1069930	EVAL	A11	spoof	-	Our investment is shrinking while that of our European competitors is growing.
LA_E_1070212	EVAL	A12	spoof	-	Making a bogey is fine but you must always give yourself the chance to save par.
LA_E_1070216	EVAL	A08	spoof	-	Could any great composer today have such an effect upon a nation?
LA_E_1070670	EVAL	A08	spoof	-	I know that once they're gone they're gone forever.
LA_E_1071484	EVAL	bonafide	bonafide	p275_273	-
LA_E_1072125	EVAL	A08	spoof	-	I have tried for years to find them through official channels without success but maybe the book will help.
LA_E_1072407	EVAL	A10	spoof	-	Our position is quite clear.
LA_E_1072624	EVAL	A07	spoof	-	It is long gone.
LA_E_1072722	EVAL	A11	spoof	-	What do they want us to do ?
LA_E_1073482	EVAL	bonafide	bonafide	p361_315	-
LA_E_1073502	EVAL	A11	spoof	-	We will keep our heads up.
LA_E_1073597	EVAL	A07	spoof	-	He would have been equally at home in both camps.
LA_E_1073787	EVAL	A11	spoof	-	We have job creation in the United Kingdom being successful, and we have recession in Europe.
LA_E_1074126	EVAL	A08	spoof	-	I never saw it at any time as being a damage limitation exercise.
LA_E_1074147	EVAL	A11	spoof	-	Today will tell.
LA_E_1074199	EVAL	A12	spoof	-	The defender made an impressive debut.
LA_E_1074577	EVAL	A07	spoof	-	Gordon Brown did not inherit a mess.
LA_E_1074686	EVAL	A11	spoof	-	A mountain rescue team was searching woodland on both sides of the river.
LA_E_1075009	EVAL	A08	spoof	-	Tonight, one winner will be announced.
LA_E_1075010	EVAL	A07	spoof	-	It is a case of players getting used to Scottish football.
LA_E_1075239	EVAL	A11	spoof	-	My future is in the marathon.
LA_E_1076018	EVAL	A07	spoof	-	I haven't won the world title.
LA_E_1076078	EVAL	A07	spoof	-	I love the feel of the place.
LA_E_1076208	EVAL	A12	spoof	-	I have a responsible position around here.
LA_E_1077784	EVAL	bonafide	bonafide	p266_227	-
LA_E_1078614	EVAL	A09	spoof	-	You have got to act.
LA_E_1079089	EVAL	A11	spoof	-	He decided to try his luck in Asia and has had two wins in the last month.
LA_E_1080267	EVAL	A08	spoof	-	This season has been a mixture of frustration and fulfilment.
LA_E_1080408	EVAL	A11	spoof	-	The results are tragic.
LA_E_1080637	EVAL	A07	spoof	-	There was no referee here.
LA_E_1080945	EVAL	A08	spoof	-	Now, suddenly, we have this new landscape.
LA_E_1080991	EVAL	A08	spoof	-	If demolition were allowed, between six and seven hundred homes could be built.
