model_id	system	feature	fixed_columns	fixed_rank	fixed_full_rank	fixed_condition_number	final_singular	converged	final_random_structure	curve_covariance_PSD	CR2_status	CR2_cluster	CR2_type	CR2_applicable	CR2_evidence_complete	CR2_unique_utterances	CR2_utterances_multiple_matches	CR2_proportion_utterances_multiple_matches	CR2_maximum_matches_per_utterance	CR2_match_clusters_independent_partitions	CR2_estimates_produced	CR2_rows	CR2_columns	CR2_covariance_finite	CR2_covariance_min_eigen	CR2_success	CR2_authorized_outcome	all_acceptance_gates_pass	warnings
A01_centroid	A01	centroid	1122	1122	TRUE	1406477.68042452	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4137	3206	0.774957698815567	27	FALSE	FALSE					FALSE	TRUE	TRUE	
A01_cpps	A01	cpps	324	324	TRUE	96693.2663104819	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	1358	348	0.256259204712813	5	FALSE	FALSE					FALSE	TRUE	TRUE	
A01_energy	A01	energy	1122	1122	TRUE	1406477.68042452	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4137	3206	0.774957698815567	27	FALSE	FALSE					FALSE	TRUE	TRUE	
A01_flatness	A01	flatness	1122	1122	TRUE	1462922.58077513	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4151	3208	0.772825825102385	27	FALSE	FALSE					FALSE	TRUE	TRUE	
A01_flux	A01	flux	1122	1122	TRUE	1406545.78022647	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4137	3206	0.774957698815567	27	FALSE	FALSE					FALSE	TRUE	TRUE	
A01_tilt	A01	tilt	1122	1122	TRUE	1463258.2904595	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4137	3206	0.774957698815567	27	FALSE	FALSE					FALSE	TRUE	TRUE	
A02_centroid	A02	centroid	1127	1127	TRUE	1487395.76141132	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4171	3243	0.777511388156317	27	FALSE	FALSE					FALSE	TRUE	TRUE	
A02_cpps	A02	cpps	304	304	TRUE	92284.4738859042	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	1338	353	0.263826606875934	5	FALSE	FALSE					FALSE	TRUE	TRUE	
A02_energy	A02	energy	1127	1127	TRUE	1487395.76141132	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4171	3243	0.777511388156317	27	FALSE	FALSE					FALSE	TRUE	TRUE	
A02_flatness	A02	flatness	1127	1127	TRUE	1486908.47431408	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4176	3233	0.774185823754789	27	FALSE	FALSE					FALSE	TRUE	TRUE	
A02_flux	A02	flux	1127	1127	TRUE	1487470.26592538	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4171	3243	0.777511388156317	27	FALSE	FALSE					FALSE	TRUE	TRUE	
A02_tilt	A02	tilt	1127	1127	TRUE	1487395.76141175	FALSE	TRUE	token_occurrence_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4171	3243	0.777511388156317	27	FALSE	FALSE					FALSE	TRUE	TRUE	
A03_centroid	A03	centroid	1139	1139	TRUE	1496534.84439055	FALSE	TRUE	token_occurrence_id + match_id + utterance_id	TRUE	NOT_APPLICABLE_CROSSED_CLUSTERING	match_id	CR2	FALSE	TRUE	4095	3134	0.765323565323565	28	FALSE	FALSE					FALSE	TRUE	TRUE	
