file_id	partition	system	label
LA_E_1000147	EVAL	A10	spoof
LA_E_1000791	EVAL	A11	spoof
LA_E_1000841	EVAL	A09	spoof
LA_E_1001227	EVAL	A11	spoof
LA_E_1001476	EVAL	A12	spoof
LA_E_1001893	EVAL	A09	spoof
LA_E_1002394	EVAL	A08	spoof
LA_E_1002658	EVAL	A08	spoof
LA_E_1002769	EVAL	A07	spoof
LA_E_1003768	EVAL	A09	spoof
LA_E_1005177	EVAL	A11	spoof
LA_E_1006317	EVAL	A10	spoof
LA_E_1006886	EVAL	A07	spoof
LA_E_1007069	EVAL	A09	spoof
LA_E_1007838	EVAL	A10	spoof
LA_E_1008103	EVAL	A07	spoof
LA_E_1009236	EVAL	A11	spoof
LA_E_1009254	EVAL	A08	spoof
LA_E_1009429	EVAL	A11	spoof
LA_E_1009640	EVAL	A10	spoof
LA_E_1009694	EVAL	A11	spoof
LA_E_1011450	EVAL	A08	spoof
LA_E_1011600	EVAL	A07	spoof
LA_E_1011807	EVAL	bonafide	bonafide
LA_E_1014345	EVAL	A08	spoof
LA_E_1014480	EVAL	A10	spoof
LA_E_1014516	EVAL	A12	spoof
LA_E_1014644	EVAL	A08	spoof
LA_E_1014715	EVAL	A11	spoof
LA_E_1015234	EVAL	A10	spoof
LA_E_1015648	EVAL	A12	spoof
LA_E_1017665	EVAL	A12	spoof
LA_E_1018246	EVAL	A11	spoof
LA_E_1018407	EVAL	A12	spoof
LA_E_1018538	EVAL	A07	spoof
LA_E_1019043	EVAL	A12	spoof
LA_E_1019133	EVAL	A12	spoof
LA_E_1019297	EVAL	A08	spoof
LA_E_1019489	EVAL	A10	spoof
LA_E_1019903	EVAL	A11	spoof
LA_E_1019949	EVAL	A08	spoof
LA_E_1020167	EVAL	A09	spoof
LA_E_1020177	EVAL	A11	spoof
LA_E_1020219	EVAL	A09	spoof
LA_E_1020598	EVAL	A08	spoof
LA_E_1022330	EVAL	A10	spoof
LA_E_1023514	EVAL	A12	spoof
LA_E_1023808	EVAL	A09	spoof
LA_E_1024324	EVAL	A08	spoof
LA_E_1024417	EVAL	bonafide	bonafide
LA_E_1024929	EVAL	A11	spoof
LA_E_1026587	EVAL	A09	spoof
LA_E_1027163	EVAL	A08	spoof
LA_E_1027275	EVAL	A10	spoof
LA_E_1027495	EVAL	A09	spoof
LA_E_1028101	EVAL	A12	spoof
LA_E_1028808	EVAL	A12	spoof
